property_id,district,property_type,total_price,condo_fee,area,bedroom_qnt,bathroom_qnt,parking_spaces_qnt,sq_m_price
2771155930,tucuruvi,1,400000.0,0.0,40.0,2.0,1.0,0.0,10000
2754611387,tucuruvi,2,235000.0,1.0,36.0,2.0,1.0,0.0,6528
2783010769,tucuruvi,2,360000.0,150.0,47.0,2.0,1.0,1.0,7660
2763021824,tucuruvi,2,245000.0,150.0,32.0,1.0,1.0,0.0,7656
2754610752,tucuruvi,2,280000.0,1.0,43.0,2.0,1.0,0.0,6512
2719690151,tucuruvi,2,415000.0,1000.0,100.0,3.0,2.0,1.0,4150
2783011938,tucuruvi,1,380000.0,0.0,45.0,2.0,1.0,1.0,8444
2772442113,tucuruvi,2,360000.0,250.0,45.0,2.0,1.0,1.0,8000
2770854547,tucuruvi,2,435000.0,628.0,56.0,2.0,1.0,2.0,7768
2783008053,tucuruvi,1,380000.0,0.0,45.0,2.0,1.0,1.0,8444
2783007055,tucuruvi,2,290000.0,0.0,30.0,1.0,1.0,0.0,9667
2770952265,tucuruvi,1,670000.0,0.0,162.0,3.5,3.0,2.0,4136
2754610876,tucuruvi,2,280000.0,1.0,36.0,2.0,1.0,0.0,7778
2779087614,tucuruvi,2,430000.0,510.0,53.0,2.0,2.0,1.0,8113
2770951650,tucuruvi,2,350800.0,350.0,43.0,2.0,1.0,0.0,8158
2742972059,tucuruvi,2,370000.0,350.0,41.0,2.0,1.0,1.0,9024
2751756850,tucuruvi,2,379000.0,600.0,53.0,2.0,2.0,1.0,7151
2695642004,tucuruvi,2,395000.0,640.0,55.0,2.0,2.0,2.0,7182
2669616098,tucuruvi,1,720000.0,0.0,136.0,3.0,3.0,2.0,5294
2724040642,tucuruvi,1,480000.0,120.0,50.0,2.0,1.0,1.0,9600
2743924458,tucuruvi,1,750000.0,0.0,132.0,3.0,3.0,2.0,5682
2777520543,tucuruvi,2,410000.0,780.0,52.0,2.0,1.0,1.0,7885
2779337381,tucuruvi,1,229000.0,1.0,28.0,1.0,1.0,0.0,8179
2758722430,tucuruvi,2,317447.0,200.0,36.0,2.0,1.0,0.0,8818
2738230430,tucuruvi,2,350800.0,0.0,43.0,2.0,1.0,0.0,8158
2733703291,tucuruvi,2,435000.0,150.0,55.0,2.0,2.0,1.0,7909
2583341955,tucuruvi,2,296000.0,200.0,37.0,2.0,1.0,0.0,8000
2730158723,tucuruvi,2,360000.0,636.0,49.0,2.0,1.0,2.0,7347
2774745327,tucuruvi,2,372000.0,150.0,40.0,1.0,1.0,0.0,9300
2722868179,tucuruvi,2,367056.0,1.0,50.0,2.0,1.0,1.0,7341
2783007771,tucuruvi,1,265000.0,100.0,35.0,1.0,1.0,0.0,7571
